slpm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,win_streak_diff,finish_rate_diff,age_diff,reach_diff,days_diff,title_fight,rounds,weight_class_lbs,date,winner
0.18999999999999995,8,4,0.06000000000000005,18,27,-1.0,3,-0.1688311688311689,2.102669404517453,-2.539999999999992,-42,1,5.0,170,2016-01-02,1
-0.22999999999999998,4,5,0.07,22,4,0.1,-2,-0.08333333333333337,5.311430527036276,-2.539999999999992,98,0,3.0,170,2016-01-02,0
-1.8000000000000003,10,8,1.2,30,19,0.5,2,0.8333333333333334,10.41204654346338,10.159999999999997,49,0,3.0,170,2016-01-02,0
-0.9000000000000004,11,-23,1.02,-20,-36,-0.6,0,0.0,-0.4928131416837793,0.0,-147,0,3.0,170,2016-01-02,1
-0.41999999999999993,-2,-3,0.48000000000000004,-20,-23,-1.1,-1,-0.380952380952381,3.1184120465434617,-5.0800000000000125,-29,0,3.0,170,2016-01-17,1
-3.41,-3,11,2.11,35,70,-0.2,-1,0.0,1.097878165639976,-2.5400000000000205,-70,0,3.0,205,2016-01-17,1
-0.6400000000000001,12,21,2.22,24,2,0.0,1,0.0,6.387405886379195,7.6200000000000045,232,0,3.0,205,2016-01-17,1
-0.3799999999999999,2,15,-0.51,-13,0,-0.19999999999999996,0,-0.2222222222222222,-0.3230663928815858,-7.6200000000000045,-126,0,3.0,205,2016-01-17,0
0.43000000000000016,4,-11,-0.94,13,-3,0.19999999999999996,-4,0.5104895104895105,-0.7474332648870572,10.159999999999997,28,0,5.0,205,2016-01-30,1
1.5799999999999996,8,2,-1.52,-11,-2,-0.30000000000000004,0,-0.6666666666666666,-1.4428473648186149,-2.539999999999992,281,0,3.0,170,2016-01-30,1
-1.7699999999999996,4,14,1.6800000000000002,12,-9,0.3,2,0.0,-6.828199863107464,-2.539999999999992,-229,0,3.0,170,2016-01-30,0
1.7899999999999998,-8,-1,-0.2899999999999998,-15,-34,0.6,0,0.3333333333333333,3.348391512662559,-2.5400000000000205,-99,0,3.0,170,2016-01-30,0
-1.9,-13,0,-0.35000000000000003,-29,-13,-0.6,0,1.0,0.5557837097878178,-5.0800000000000125,199,0,3.0,170,2016-01-30,0
0.8300000000000001,-6,11,1.7599999999999998,12,50,0.09999999999999998,2,0.125,-1.5277207392197099,0.0,201,0,3.0,185,2016-01-30,1
-0.5599999999999996,-1,-1,3.6,11,0,0.3,-4,-0.24999999999999994,-0.5831622176591367,-15.240000000000009,120,0,5.0,170,2016-02-06,0
0.31999999999999984,-6,-2,0.4900000000000001,-4,4,0.4,0,-0.16666666666666663,-2.981519507186853,15.23999999999998,-7,0,3.0,205,2016-02-06,1
-1.5,13,0,1.6600000000000001,2,2,1.5,0,0.6666666666666666,11.767282683093772,0.0,-125,0,3.0,170,2016-02-06,1
-0.9900000000000002,-8,-13,0.43999999999999995,-1,-51,1.6,0,0.0,-6.836413415468854,0.0,0,0,3.0,170,2016-02-06,1
-0.26000000000000023,8,10,4.15,39,26,1.2,1,1.0,3.1759069130732343,0.0,167,0,3.0,205,2016-02-06,1
1.42,-5,7,-1.1900000000000002,-5,10,0.6,-3,-0.06666666666666665,4.90075290896646,-7.6200000000000045,-42,0,5.0,170,2016-02-21,1
