Model,ROC-AUC,Std
Logistic Regression,0.6916573923989333,0.02236149517352816
Random Forest,0.6587712382960706,0.022654479922554826
XGBoost,0.6485594995712799,0.030274138551215236
Elo Model (benchmark),,
Betting Odds (benchmark),,
